sentence,cleanliness,comfort,amenities,staff,value,wifi,location,other
"Consiglerei se si fa tardi di prendere subito il taxi e non andare a piedi, perche la zona per arrivare al Hotel e un po scognita.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Dal bagno veniva cattivo odore.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Stanze un po' rumorose per via della strada sottostante,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
4 stelle assolute ma ciò che ha rovinato il mio soggiorno è l'assoluto grado di scarso garbo e scarsa comunicazione del personale.,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
Ha bisogno di una rinfrescata,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Il Cellulare è rimasto senza ricarica,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Arredamenti e finiture camere datati, andrebbero rinfrrescate",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"La struttura alberghiera è in un palazzo d epoca, recentemente ristrutturato, con belle sale comuni e una splendida terrazza.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Facile da raggiungere in macchina.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Molto comodo alla stazione,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Durante la collazione il cameriere ti punta con lo sguardo.,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
L'ingresso della struttura non è molto invitante.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Hotel molto carino, in pieno centro.",neutral,neutral,neutral,neutral,neutral,neutral,positive,positive
Pulizia veramente scadente non accettabile per un 4 stelle.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Le camere non sono ben isolate e si sente un chiacchiericcio di sottofondo a qualunque ora.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Al mio rientro in camera   ore 20  la stanza era ancora da rifare,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
Staff molto disponibile e gentile,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Qualità prezzo tra le migliori trovate.,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
"Scomoda  specialmente nel periodo invernale con bambini  quando c'è stata la necessità di raggiungere la reception o la mensa  nella struttura principale  considerato che dista circa 200 mt  la pulizia all'interno del bagno lasciava molto a desiderare in quanto vi era la presenza di animaletti morti sul pavimento  l'acqua calda diventava a tratti fredda non permettendo di fare la doccia  il servizio sky in camera non funzionava  anche quì i controlli  pre   consegna del monolocale ai clienti, secondo me, è stata approssimativa  condizionatori alquanto rumorosi.",negative,negative,negative,neutral,neutral,neutral,neutral,negative
"davvero silenzioso, pulito e letto comodissimo",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Personale che non conosce l'italiano  e nemmeno l'Italia .,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
"Stanze fatiscenti, carta da parati e moquette sporca.",negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Stanza spartana nonostante avessi prenotato una superior pensavo di rimanere maggiormente soddisfatta.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
La posizione rispetto al centro è ottima.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
L'albergo è a 5 minuti a piedi da Piazza Maggiore.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Posizione centrale, rapporto qualità prezzo della camera proporzionato.",neutral,neutral,neutral,neutral,positive,neutral,positive,neutral
Personale gentile e disponibile.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Ambiente gradevole e confortevole.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Struttura un po' datata .,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Doccia con acqua tiepida,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Lo staff è molto gentile e cortese,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
si saliva a piedi...con il bagaglio,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Letto nn confortevole   giudizio personale,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Bella gente, bello il posto.",neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
l'arredo delle camere molto minimal,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Camera pulita e letto confortevole.,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
ospitalità cameriera e reception,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Dormire non è stato agevole.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Colazione varia e ricca,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Struttura moderna che dispone di tutti i confort,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"Pulizia camere,gentilezza e professionalità personale,cenone capodanno ottimo sia nel cibo che intrattenimento musicale con camerieri professionali e simpatici",positive,neutral,positive,positive,neutral,neutral,neutral,neutral
"Le camere e i bagni sono un po' datati, sarebbe opportuno un restauro.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Dovrebbe rivedere gli ingressi per i disabili.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Migliorerei i comandi interni degli ascensori,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Belle e moderne le camere,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Camera poco insonorizzata verso la strada.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Posizione strategica, pulito ed accogliente.",positive,positive,neutral,neutral,neutral,neutral,positive,neutral
"Alle 2 passate, del mattino  non so se sono stato sfortunato a essere capitato durante delle feste  c'era ancora musica assordante.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
La doccia sprizza da tutte le parti,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"La posizione è molto comoda, inoltre lo staff molto professionale",neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
Con la cifra pagata almeno la colazione... o quanto meno una convenzione con un bar.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Posizione centrale  Staff cortese  Colazione ottima  Pulizia della camera,positive,neutral,positive,positive,neutral,neutral,positive,neutral
la posizione in perfetto centro.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
comoda la posizione e nient'altro,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Sapevamo del bagno in comune, la sfortuna è trovare gente incivile che lo utilizza",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Colazione gratuita anche dopo l'orario,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Troppo distante dal centro, tenendo conto della problematicità dei trasporti urbani.",neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
"Molto pulita, nuova e personale gentile",positive,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Il Wi Fi praticamente non funzionava, forse perché così ti facevi il pacchetto a pagamento, chissà....",neutral,neutral,neutral,neutral,neutral,negative,neutral,neutral
"Edificio elegante, ottima gestione.",neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
"Troppe correnti negli ambienti comuni  nella sala della colazione, nella hall.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Francamente le stanze oltre che svecchiarle bisognerebbe pulirle....ho passato un tovagliolo di carta a terra.... lasciamo perdere.... le finestre sono una vergogna e sono certa che non vengano pulite da mesi.,negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
Tranne per l'acqua calda che alle ore 07 mancava.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"La camera da letto era perfetta, sembrava un sogno.",neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"Camera veramente confortevole, ottimo il materasso, bagno pulito e con tutti gli accessori.",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Colazione ottima sia dolce che salata.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
All'interno si presenta bella a vedersi.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
la camera  buia e con vista sulla scala antiincendio,neutral,negative,neutral,neutral,neutral,neutral,neutral,negative
Buona la colazione e lo staff si è dimostrato molto cordiale.,neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
vecchia e andrebbe rimodernata.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
NUMEROSE TRACCE  CAPELLI  DEL CLIENTE PRECEDENTE SUL PAVIMENTO,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
struttura vetusta  camera spartana con buchi e rotture nei muri  bagno e doccia con mattonelle spaccate  infissi vetusti e sottili da lasciare entrare rumori dalla strada come se non ci fossero  piumone macchiato   pessimo rapporto qualità prezzo,neutral,negative,negative,neutral,negative,neutral,neutral,neutral
Non è stato possibile pagare in anticipo per regole fisse interne.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"La reception è il difetto più grande, non all'altezza della struttura.",neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
Stanza 318 poco illuminata,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Da rivedere completamente il Bistrot.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
L'ottimo rapporto qualità prezzo.,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
Niente assolutamente da chiudere,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
Gode di un panorama UNICO AL MONDO,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
"La gentilezza dello staff, la colazione e la posizione",neutral,neutral,positive,positive,neutral,neutral,positive,neutral
La posizione dell'hotel è davvero strategica.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
ottima posizione e staff gentile,neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
Per entrare nel letto spazio di 20 cm su ambo i lati,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"L'energia elettrica a tarda notte viene sospesa, bisogna reinserire la scheda per riattivarla.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Il personale si è mostrato molto cortese e disponibile.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Non mi sembra che meriti le 4 stelle.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"oltre alla posizione ho apprezzato la professionalità alla reception, il  piano B  predisposto per l'ultimo dell'anno  non solo cenone ma anche cena al buffet , e lo staff dell'assistenza e manutenzione sempre disponibile  la selezione di ottime grappe del bar  cosa rara in Italia dove si propongono 20 etichette di single malt o blended e solo 2 o 3 etichette di grappacce commerciali , e la colazione  varia, buona e abbondante.",neutral,neutral,positive,positive,neutral,neutral,positive,neutral
La zona di fronte alla stazione dove si trova l'albergo non ben frequentata e lontana dal centro storico .,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
"SOLO IL PRIMO GIORNO DEL SOGGIORNO COMPRENDEVA UNA BOTTIGLIA DI ACQUA IN OMAGGIO, FRIGO BAR VUOTO E DISTRIBUTORE DELLE BEVANDE PRESENTE SUL PIANO ROTTO.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Migliorerei le zone di passaggio dell hotel, ci sono molti sbalzi di temperatura fra la hall, zona ristorante e zona colazione",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"Bellissima struttura, nuova e ben curata.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Al check out alla richiesta di avere un taxi mi è stato risposto di uscire e cercarlo per strada.,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
"Staff cortese e accogliente, ottima posizione",neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
Camere moderne e pulite anche se non spaziose.,positive,negative,neutral,neutral,neutral,neutral,neutral,neutral
La mancanza di parcheggio è fastidiosa e il garage a 150 m è abbastanza costoso.,neutral,neutral,negative,neutral,negative,neutral,neutral,neutral
per andare in centro occorre prendere l'auto e non è facile parcheggiare.,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
Mancava il frigo bar in camera.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Sono uscito ed il bagno era un  laghetto,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Parcheggio riservato sotto l'hotel.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Stanza molto bella e moderna, bagno confortevole",neutral,positive,neutral,neutral,neutral,neutral,neutral,positive
Buona e varia la colazione.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"L hotel ha una posizione perfetta , è pulito e offre tutti i servizi .",positive,neutral,positive,neutral,neutral,neutral,positive,neutral
La vista sulle torri merita il soggiorno.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Colazione vasta e di qualità,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Pulizia accurata e personale gentile e professionale.,positive,neutral,neutral,positive,neutral,neutral,neutral,neutral
"l'educazione dei giovanissimi ragazzi dello staff, ben educati e disponibili.",neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"E' perfetto anche per la sera, perché si trova in una zona piena di ristoranti e pizzerie.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"colazione molto abbondante, posizione centrale, personale d'accoglienza cortese",neutral,neutral,positive,positive,neutral,neutral,positive,neutral
Letto grande,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
La stanza è spartana ma pratica  mi è sembrata pulita nonostante qualche recensione negativa che avevo letto.,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
"letto perfetto, doccia alla giusta temperatura, colazione super",neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
"La location è ottima, struttura immersa nel verde, stanze ben arredate e capienti.",neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
"eleganza, igiene e pulizia e disponibilità del personale",positive,neutral,neutral,positive,neutral,neutral,neutral,positive
"Buon breakfast, vicino all  stazione FS e a 10 minuti a piedi del centro storico.",neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
Fermata del bus per il centro città a 100 metri,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Lenzuola più piccolo del matrimoniale, macchie sui cuscini, piatto doccia non ben lavato, pavimento impolverato sia in bagno che in stanza, tv non funzionante  forse posizionata troppo in alto, sopra l'armadio, e quindi probabilmente non riusciva a prendere il segnale dal telecomando , armadio senza ante.",negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
Parcheggio molto comodo e reception 24 24h.,neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
La camera non è di un 4 stelle al massimo ne vale 2,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Ho apprezzato molto il cappuccino servito dal bar e non dalle macchinette automatiche non si trova quasi mai,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Inoltre l'hotel si trova in una posizione centralissima.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Camera con vista sulla città veramente magnifica, con tutti i comfort e servizi a disposizione, centro facilmente raggiungibile a piedi  dieci minuti , comodo parcheggio a pagamento disponibile sia in hotel che nelle immediate vicinanze  i parcheggi a Bologna sono TUTTI e SEMPRE a pagamento, tranne nei giorni festivi .",neutral,positive,positive,neutral,neutral,neutral,positive,neutral
Non corrispondente affatto a un 3 stelle  4 in altri siti...  .,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Il prezzo è eccessivo ed il personale MOLTO maleducato .,neutral,neutral,neutral,negative,negative,neutral,neutral,neutral
Il riscaldamento nella stanza 312 che mi è stata assegnata non funzionava.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Molto vicino alla stazione Centrale di Napoli e quindi ai mezzi pubblici.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Per un 4 stelle mi aspettavo qualcosa in più alcuni dettagli da migliorare come sbavature di pittura sui zoccolini parte bassa della doccia un po' arrugginita sono piccolezze ma è il dettaglio che fa la qualità.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
permette di raggiungere comodamente a piedi quasi tutti i principali monumenti,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Staff gentile e disponibile,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"E' stato un piacere soggiornare qui, lo consiglio vivamente e di certo sarà il mio riferimento per la prossima visita nella bella bologna.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
e dopo tutto questo... voleva altri 10 euro per un parcheggio indecente,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Arredi un po' datati.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"unica pecca il bagno un po freddino, purtroppo durante il nostro soggiorno il clima non era dei migliori.",neutral,negative,negative,neutral,neutral,neutral,neutral,neutral
Camera spaziosa e pulita,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Colazione buffet varia e abbondante.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
La terrazza panoramica è veramente spettacolare,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"La camera era funzionale, ma un po' piccola e mancava qualche appoggio.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"assurdo che la colazione non fosse disponibile al mattino presto, noi abbiamo lasciato l hotel alle 6 per prendere un aereo.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Camera al 3 piano con ascensore con bagno piccolino ma con una doccia in compenso davvero grande.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Grazie a Steve il ragazzo della reception che c ha accolto e nonostante avessimo il bagno in comune nella prenotazione è riuscito a farci avere un bagno tutto per noi allo stesso prezzo, c ha tenuto d occhio le valigie mentre andavamo in giro.",neutral,positive,positive,positive,neutral,neutral,neutral,neutral
Staff cordiale e gentile,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Nel complesso buona sistemazione e ottima colazione,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Il clima in camera non era molto caldo, ho dovuto mettere due coperte stile anni 70.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
I succhi erano praticamente acqua e quasi nessuna pasta fresca  solo quelle scaldate a forno e per essere in un hotel di questo livello e a Bologna sinceramente sono rimasto deluso,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Ottima posizione ottimo staff struttura pulita ed elegante.,positive,positive,neutral,positive,neutral,neutral,positive,neutral
"Migliorerei molte cose, tra le quali la pulizia e l'accoglienza  Palazzo fornito di ascensore minuscolo a pagamento 10 centesimi ogni volta  ci stavano a mala pena tre trolley.",negative,negative,neutral,negative,neutral,neutral,neutral,neutral
"Inoltre, la doccia risultava rumorosa visto che la signora che occupava la stanza accanto chiedeva cosa stesse accadendo.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Struttura organizzata molto bene.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
"La colazione  era molto soddisfacente e gustosa,la comera era preparata con cura.",neutral,neutral,positive,neutral,neutral,neutral,neutral,positive
Posteggio gratuito pubblico in loco wi fi veloce,neutral,neutral,positive,neutral,neutral,positive,neutral,neutral
Altra cosa che non ho apprezzato le tende sporche.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
"Camere nell'ala di sinistra, un pochino spartane e senza sedia sul balcone per sedersi fuori",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Ho apprezzato particolarmente l'idea di poter decidere di giorno in giorno quale pezzo di biancheria eventualmente cambiare, al fine di migliorare la sostenibilità ecologica della struttura  spesso in molte strutture cambiano tutta la biancheria ogni giorno di default.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
I succhi di frutta imbevibili,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"L'hotel si trova poco fuori dal centro di Bologna,facilmente raggiungibile con la macchina.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Per cena ci era stato promesso un tavolo panoramico che non abbiamo, invece, trovato.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Posizione ottima, in centro città e nella via principale dei negozi.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Consigliato,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Il bagno  senza box doccia con una vasca scomoda e non chiusa.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
ma una cosa sola avrei cambiato i cartelli per le camere sono un po' confuse.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Mancanza di un armadio.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Belle camere, ottima colazione , bell'ambienre circostante con tanto di piscina all'aperto  .",neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
I prezzi del bar un po' esagerati,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
Camera sufficiente non per un hotel a 4 stelle.,neutral,negative,neutral,neutral,negative,neutral,neutral,neutral
"Colazione non molto varia, abbiamo prenotato con pochi giorni di anticipo ma 100  per una notte in camera doppia mi sembra un po  eccessivo",neutral,neutral,negative,neutral,negative,neutral,neutral,neutral
"Nonostante ci fosse il climatizzatore, le coperte erano un po leggere",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Sarebbe meglio mettere uno sgabello in bagno per poter fare il cambio abiti in comodità, visto che nelle camere si è totalmente esposti agli altri ospiti, e soprattutto chi ha il letto superiore non può appoggiarsi al proprio letto.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Struttura accogliente, ottima colazione abbondante.",neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
"Colazione ricca e varia, camera silenziosa e confortevole, sala fitness piccola ma ben attrezzata, personale cortese e disponibile  biciclette disponibili per raggiungere il centro città.",neutral,positive,positive,positive,neutral,neutral,neutral,neutral
"Pulito e ben tenuto, ma un Hotel anche di bassa categoria ha caratteristiche totalmente differenti.",positive,neutral,neutral,neutral,neutral,neutral,neutral,negative
Una mattina abbiamo dovuto aspettare qualche minuto in piedi per fare colazione perchè non erano disponibili posti a sedere in quel momento.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Come in prossimità di ogni stazione la sera non è il massimo.,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
"L'ambiente è piacevole, pieno di ironia napoletana.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
"Due modalità di prima colazione per chi, come me, mangia poco al mattino.",neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Il costo del parcheggio è davvero un pò eccessivo.,neutral,neutral,negative,neutral,negative,neutral,neutral,neutral
la struttura è un po' antiquata.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"gentilezza e disponibilità dello staff, ottima colazione varia ed abbondante.",neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
"TOPAIA   DIRE POCO Non ci sono parole per descrivere gli orrori di questo  albergo  Lasciando stare la zona in cui si trova, lontanissimo dallo stadio, in un quartiere di case popolari  L'albergo era strutturalmente diverso dalle foto che ci sono sul sito, le stanze piccole e trascurate  Pulizia pessima, bagni sporchi con pipì sul wc, piatto doccia nero con peli ovunque, asciugamani con macchie di sangue, lenzuola non cambiate  Un esperienza pessima  Lo sconsiglio vivamente",negative,negative,neutral,neutral,neutral,neutral,negative,negative
La stanza era una completa fogna,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Pesante odore di vernice in camera,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"La posizione, pur panoramica e suggestiva , solo per chi ha le camere con affaccio sul mare,  è molto scomoda per chi non ha la macchina al seguito.",neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
la colazione....per essere a Napoli mi aspettavo cose più buone....,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Ottimo collegamento con le varie zone di Napoli grazie alla metro.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Forse qualche stanza andrebbe leggermente riammodernata,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"Ottima la posizione, con la metro a pochi passi.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"L albergo è all interno della galleria Umberto I vicino a piazza Plebiscito,e via Toledo ed a due passi dal centro storico.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Percorsi tortuosi per arrivare alle camere , prive di indicazioni Staff notturno poco accogliente",neutral,neutral,neutral,negative,neutral,neutral,negative,neutral
La coperta un po' leggera.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Le camere con finestra su un camminatoio affacciavano in una stretto spazio esterno.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Posizione centrale e ben servita dai mezzi.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
buffet colazione notevole con personale di sala davvero gentile...,neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
WIFI gratuito molto lento e non sempre funzionaba,neutral,neutral,neutral,neutral,neutral,negative,neutral,neutral
wifi non funzionante 28  C in camera senza possibilità di intervenire se non aprendo la finestra,neutral,neutral,neutral,neutral,neutral,negative,neutral,neutral
La posizione è ottima,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Ambienti puliti e colazione ottima.,positive,neutral,positive,neutral,neutral,neutral,neutral,neutral
La posizione e la splendida vista dalla camera,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Condizionatore della stanza rumoroso, al mattino ascensori intasate.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Nel complesso albergo confortevole,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Struttura esterna e aree comuni molto eleganti.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Le stanze e l'hotel in genere avrebbe bisogno di qualche ristrutturazione,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Asciugamani e prodotti da bagno di modesto livello non in linea con un 4stelle.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Colazione con molta varietà di scelta sia del dolce che del salato.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Colazione...bisogna fare attenzione quando il tavolo si sguarnisce, non è buona cosa far aspettare o addirittura che sia il cliente a segnalare tale mancanza.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Ascensore che cigolava di ruggine, All'entrata c erano uomini  che fumavano una puzza che si moriva, i muri della stanza sporchi, bagni sporchi, il letto non l anno rifatto.",negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
Assenza del portarotolo in bagno e del frigobar nella camera,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
La struttura dove si trova l'hotel non era ottima.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Lo staff è molto cordiale e disponibile,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Non è che un cliente fisso deve essere trattato con meno attenzioni di uno nuovo.,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
"Personale giovane e disponibile, molto premuroso ad esaudire le nostre richieste e a fornire indicazioni utili per il soggiorno.",neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Struttura vecchia, camere sporchissime, senza asciugamani, senza asciugacapelli... una bettola.",negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
Pasticceria napoletana a colazione.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Nei dintorni ci sono pochi negozi e ristoranti,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
Camera angusta d mancanza totale di ripiani cassetti ecc.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Hotel in posizione buonissima , da via toledo a piedi si arriva facilmente ovunque .",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Ho avuto una camera interna ed è troppo buia, meglio chiedere una fronte mare  ma costa di più",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Leggermente disorganizzati in reception,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
Vasca da bagno arrugginita,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
"In generale le condizioni della stanza, pareti, pavimento e soffitto senza manutenzione e in pessimo stato.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
